preprocessamento,modelo,query_id,precision_at_10,recall_at_10,f1_at_10,ap,rr,ndcg_at_10
stemming,BM25,154,0.2,1.0,0.33333333333333337,0.75,1.0,0.7724397457735779
stemming,Vetorial (TF-IDF),155,0.3,0.5,0.37499999999999994,0.35415926868132,1.0,0.3450828734303507
stemming,BM25,155,0.1,0.16666666666666666,0.125,0.1414372017982647,0.5,0.1420364328899563
stemming,Vetorial (TF-IDF),156,0.7,0.5,0.5833333333333334,0.5606727725272481,1.0,0.620104160674023
stemming,BM25,156,0.7,0.5,0.5833333333333334,0.5368649311366411,1.0,0.5728198349525341
stemming,Vetorial (TF-IDF),157,0.7,0.1794871794871795,0.2857142857142857,0.42488926847470837,0.5,0.531667000620036
stemming,BM25,157,0.7,0.1794871794871795,0.2857142857142857,0.36940132807017767,0.5,0.5716530315155415
stemming,Vetorial (TF-IDF),158,0.2,0.25,0.22222222222222224,0.3162107097462814,1.0,0.5347363368441794
stemming,BM25,158,0.3,0.375,0.33333333333333326,0.36068014631948186,1.0,0.6396601408337269
stemming,Vetorial (TF-IDF),159,0.2,0.25,0.22222222222222224,0.10737287841551464,0.3333333333333333,0.1776028646926492
stemming,BM25,159,0.2,0.25,0.22222222222222224,0.08293081198094522,0.2,0.14807333134056339
stemming,Vetorial (TF-IDF),160,0.0,0.0,0.0,0.036798823966598906,0.07692307692307693,0.0
stemming,BM25,160,0.1,0.2,0.13333333333333333,0.11980136909370405,0.5,0.24842742676916893
stemming,Vetorial (TF-IDF),161,0.3,0.5,0.37499999999999994,0.5584021327829377,1.0,0.6566395281925979
stemming,BM25,161,0.3,0.5,0.37499999999999994,0.5339889579020013,1.0,0.7193068819147438
stemming,Vetorial (TF-IDF),162,0.1,0.125,0.11111111111111112,0.15698396428107705,0.3333333333333333,0.10890713997619114
stemming,BM25,162,0.2,0.25,0.22222222222222224,0.23726883092520262,0.5,0.20052414662599183
stemming,Vetorial (TF-IDF),163,0.2,0.6666666666666666,0.30769230769230765,0.39139515455304924,0.5,0.5307212739772434
stemming,BM25,163,0.2,0.6666666666666666,0.30769230769230765,0.28888888888888886,0.3333333333333333,0.4367467095119258
stemming,Vetorial (TF-IDF),164,0.4,0.5,0.4444444444444445,0.39636719630380884,0.5,0.4724550331638209
stemming,BM25,164,0.4,0.5,0.4444444444444445,0.4340258771266281,1.0,0.5836009898419682
stemming,Vetorial (TF-IDF),165,0.2,1.0,0.33333333333333337,0.3611111111111111,0.5,0.5714285040141098
stemming,BM25,165,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6934264036172708
stemming,Vetorial (TF-IDF),166,0.0,0.0,0.0,0.023220957982743415,0.029411764705882353,0.0
stemming,BM25,166,0.0,0.0,0.0,0.03376843448344857,0.0625,0.0
stemming,Vetorial (TF-IDF),167,0.0,0.0,0.0,0.10512820512820513,0.07692307692307693,0.0
stemming,BM25,167,0.2,1.0,0.33333333333333337,0.41666666666666663,0.3333333333333333,0.5540663910176149
stemming,Vetorial (TF-IDF),168,0.1,0.5,0.16666666666666669,0.3269230769230769,0.5,0.38685280723454163
stemming,BM25,168,0.1,0.5,0.16666666666666669,0.10476190476190475,0.14285714285714285,0.20438239758848611
stemming,Vetorial (TF-IDF),169,0.2,0.5,0.28571428571428575,0.18443396226415093,0.25,0.28097267762005274
stemming,BM25,169,0.2,0.5,0.28571428571428575,0.2773584905660378,0.5,0.4144299250118475
stemming,Vetorial (TF-IDF),170,0.5,0.8333333333333334,0.625,0.5096115808732631,0.5,0.6618169848245651
stemming,BM25,170,0.4,0.6666666666666666,0.5,0.5789682539682539,1.0,0.7407757680700243
stemming,Vetorial (TF-IDF),171,0.3,1.0,0.4615384615384615,0.6666666666666666,1.0,0.8336759051146165
stemming,BM25,171,0.3,1.0,0.4615384615384615,0.6388888888888888,0.5,0.6757709465491791
stemming,Vetorial (TF-IDF),172,0.4,1.0,0.5714285714285715,0.6791666666666667,0.5,0.7179581484098557
stemming,BM25,172,0.4,1.0,0.5714285714285715,0.8041666666666667,1.0,0.8940187669412318
stemming,Vetorial (TF-IDF),173,0.2,1.0,0.33333333333333337,0.5833333333333333,0.5,0.6934264036172708
stemming,BM25,173,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
stemming,Vetorial (TF-IDF),174,0.2,0.4,0.26666666666666666,0.15379371028189667,0.5,0.36069019466199115
stemming,BM25,174,0.1,0.2,0.13333333333333333,0.07902762616800393,0.2,0.1516683004412345
stemming,Vetorial (TF-IDF),175,0.0,0.0,0.0,0.03445458166943578,0.07142857142857142,0.0
stemming,BM25,175,0.0,0.0,0.0,0.04038916625402222,0.05555555555555555,0.0
